"level","n","observed_D_E","null_mean","null_median","null_sd","null_q025","null_q975","percentile","tail_b","p_tail_raw","p_tail_plus1","confirmatory_allowed"
"strict",599,0.0016277843017376,0.000611352526325192,0.000443439243247634,0.000503239712690801,0.000169359614740794,0.00197655561250124,0.938230383973289,37,0.0617696160267112,0.0633333333333333,FALSE
"relax1_drop_community",999,0.0016277843017376,0.0006243511990006,0.000445031236597782,0.000529808419520943,0.000153147360509143,0.00211011861321133,0.92992992992993,70,0.0700700700700701,0.071,FALSE
"relax2_induced_and_distance_only",6546,0.0016277843017376,0.000709323412949132,0.00048850011499485,0.000600101034918782,0.000154983492223607,0.00233422987042319,0.891842346471127,708,0.108157653528873,0.108293875057278,FALSE
