gene,k,model,status,convergence_note,meta_g,SE,CI_lower,CI_upper,p,tau2,I2,Cochran_Q,Q_p,direction_consistent_n,direction_3_of_3,cohort_directions,FDR,GSE251778_heterogeneity_flag,GSE251778_upstream_raw_scale_flag,GSE251778_flag_scale_agreement,sensitivity_excluding_GSE251778_applicable,sensitivity_excluding_GSE251778_status,sensitivity_excluding_GSE251778_g,sensitivity_excluding_GSE251778_SE,sensitivity_excluding_GSE251778_p,sensitivity_excluding_GSE251778_FDR,sensitivity_excluding_GSE251778_I2,PBMC_available,PBMC_g,PBMC_var_g,PBMC_same_direction,array_only_fixed_g,array_only_fixed_SE,array_only_fixed_p,array_only_fixed_FDR,array_only_REML_g,array_only_REML_p,array_only_REML_FDR,array_only_status,array_only_interpretation
ARG1,3,random_REML,ok,,0.355952476772239,0.15745829970014,0.0473398802930503,0.664565073251427,0.0237831542882736,0.0516766061103499,72.4065328738036,8.48578050952192,0.0143660103516917,3,true,GSE98793:+;GSE251778:+;GSE19738:+,0.324356078073283,false,false,true,false,,,,,,,false,,,,0.550091846424223,0.131417013454616,0.0000284101490845019,0.048644488412143,0.550091846424224,0.0000284101490845017,0.0632378349357858,ok,descriptive sensitivity only; not confirmatory
LTF,3,random_REML,ok,,0.298001340774639,0.13610642454485,0.031237650602215,0.564765030947063,0.0285624793696093,0.0355125470531172,65.560346434114,6.35002256478069,0.0417936325501836,3,true,GSE98793:+;GSE251778:+;GSE19738:+,0.359985731365249,false,false,true,false,,,,,,,true,-0.154260568623609,0.0864570646192791,false,0.473288085962222,0.130844832758239,0.000297840973137988,0.0736113226621294,0.473288085962222,0.000297840973137988,0.105613000433551,ok,descriptive sensitivity only; not confirmatory
