"observed","null_mean","null_sd","null_q025","null_median","null_q975","z","empirical_percentile","p_empirical_right","set_name","baseline","FDR_BH"
1.02343396835014e-06,4.69285887831307e-07,4.70966539776415e-06,-2.79510022382912e-06,4.92592298229066e-07,3.05965393462281e-06,0.117661879075721,0.7193,0.280771922807719,"ARG1_LCN2","topology_matched_run02",0.333366663333667
9.00293204875169e-07,6.44827890323478e-07,4.28842725548764e-06,-2.67563101608026e-06,5.09171914686579e-07,3.23173326466364e-06,0.0595708634732671,0.6667,0.333366663333667,"ARG1_LTF","topology_matched_run02",0.333366663333667
2.95569118884398e-05,9.7883915768228e-07,2.84322113956009e-05,-1.21847051415269e-06,2.08440279036992e-07,1.50973187573733e-06,1.00513014387545,0.9978,0.0022997700229977,"LCN2_LTF","topology_matched_run02",0.0091990800919908
3.08297451995232e-05,2.42997547029927e-06,3.35205534050649e-05,-8.363986166951e-06,1.24854514083061e-06,9.16416982978671e-06,0.847234512689541,0.9952,0.0048995100489951,"ARG1_LCN2_LTF","topology_matched_run02",0.0097990200979902
