"observed","null_mean","null_sd","null_q025","null_median","null_q975","z","empirical_percentile","p_empirical_right","network_variant","set_name","FDR_BH"
7.08144976546699e-07,7.95823506147245e-07,4.59737903531431e-06,-3.51619272032089e-06,6.43752324114288e-07,3.98756995567684e-06,-0.0190714163280974,0.5446,0.455454454554545,"score700_weighted_LCC","ARG1_LCN2",0.455454454554545
1.33876696506441e-06,8.9643683040017e-07,3.724638912729e-06,-2.08118135616442e-06,7.21556356164666e-07,3.8862716077448e-06,0.118757856809306,0.7073,0.292770722927707,"score700_weighted_LCC","ARG1_LTF",0.39036096390361
2.18986826749923e-05,1.28728723825901e-06,3.06262147633132e-05,-1.88500672682057e-06,3.82206743143598e-07,2.24440442464502e-06,0.672998462135238,0.997,0.0030996900309969,"score700_weighted_LCC","LCN2_LTF",0.0123987601239876
2.36147191574609e-05,2.86479890102685e-06,2.680021618004e-05,-1.18364933260257e-05,1.87038743282298e-06,1.26004436232257e-05,0.774244510456149,0.988,0.0120987901209879,"score700_weighted_LCC","ARG1_LCN2_LTF",0.0241975802419758
