"gene","D_E"
"CALR",0.000102981675253577
"CCR7",7.94491361055805e-06
"TNFRSF11B",0
"ABCC9",1.15738451145209e-06
"NEDD4L",8.94850330758201e-05
"CASP7",3.65644478450555e-06
"PIK3CA",2.15441217761292e-05
"SELP",2.13750705113647e-05
"CALML3",1.25400694572786e-06
"DNMT3B",5.93297723583408e-06
"GRIA2",4.21424912891988e-05
"CCL8",0
"CCND1",0.000157490460014453
"LY96",0
"MTOR",0.000575787683735673
"EGF",0.000181634941891384
"SMAD2",4.43011402406768e-05
"CCL2",6.13182839613868e-05
"CD40",3.35438137786248e-05
"TBK1",5.08083834938056e-06
"AURKB",8.65414982428314e-05
"POU5F1",7.02722422596391e-06
"CD274",1.82794808077924e-05
"MMP1",5.28718292721608e-05
"MMP3",3.81954601270662e-05
"MMP9",0.000357780308823941
"FEN1",2.36382420392145e-05
"FOXO1",0.000321200255411047
"CD80",2.36611071546822e-06
"HNF4A",0.000119739988499346
"GCLC",5.82953261919483e-05
"IRAK1",3.99759047663428e-05
"SIRT1",0.000546497727341166
"CALCA",3.50468076348864e-06
"PPARGC1A",0.00123201570298481
"FOXO3",0.00016983916183011
"ORM1",8.16423650096265e-06
"SERPINE1",0.000119209968253986
"PLAU",4.5163654164293e-06
"CFLAR",1.47681435080926e-07
"AMY1A",0
"NRP1",0.000117291184180579
"ACTB",0.003283049902433
"ESR1",0.00140516090544329
"NPPA",9.40571603798013e-05
"ITGB3",9.21947030657622e-05
"GOT2",0.000790778048275986
"BDNF",0.000740963300493336
"GRIA1",1.4272452282027e-05
"CASP3",0.000386266602283802
"CREB1",0.000540814442373971
"SHH",1.20876861590125e-05
"CS",0.00016556105345289
"TLR2",5.15876765202483e-05
"NR1I2",0.000115905749025424
"NPPB",4.59971753330457e-06
"FGF1",6.61556330153745e-05
"PTK2B",8.59722732138302e-06
"EPOR",4.42832625766609e-05
"NLRP3",2.13829229137596e-05
"ESRRA",5.28058141966437e-05
"NCOA2",6.84137947485342e-05
"PRKAB1",0
"TUBA1B",1.02422347314501e-06
"COL1A2",4.33235468518811e-05
"NCF4",0
"AXL",8.32534790081718e-05
"GCG",0.00025476766464394
"BMP4",1.2421247359562e-06
