"observed","null_mean","null_sd","null_q025","null_median","null_q975","z","empirical_percentile","p_empirical_right","network_variant","set_name","FDR_BH"
-2.30296687064868e-06,1.86120798052792e-07,9.2293383022276e-07,-1.03530798412077e-06,1.84305301687004e-07,1.13239234633689e-06,-2.69692971174402,0.0075,0.992500749925007,"score400_LCC","ARG1_LCN2",0.992500749925007
3.06904491265136e-07,2.65574028997397e-07,1.4037821706733e-06,-1.14240362436568e-06,2.17482376663192e-07,1.45828098541134e-06,0.0294422191214438,0.8029,0.197180281971803,"score400_LCC","ARG1_LTF",0.394360563943606
1.02106194077578e-06,8.75197757490454e-08,5.31007718980873e-07,-8.80232354671939e-07,1.28824912626335e-07,4.91857659157269e-07,1.75805761697479,0.9942,0.0058994100589941,"score400_LCC","LCN2_LTF",0.0235976402359764
-9.7710377311433e-07,5.10519967355328e-07,1.7247208587259e-06,-2.1120159942406e-06,5.16504995939915e-07,2.59287665112795e-06,-0.862530149701217,0.0529,0.947105289471053,"score400_LCC","ARG1_LCN2_LTF",0.992500749925007
