"observed","null_mean","null_sd","null_q025","null_median","null_q975","z","empirical_percentile","p_empirical_right","set_name","baseline","FDR_BH"
1.02343396835014e-06,3.38147764417522e-07,1.20922494067467e-05,-8.0033519614664e-07,7.59857489152083e-08,2.60785951061437e-06,0.0566715241210847,0.8965,0.103589641035896,"ARG1_LCN2","uniform_random_run02",0.122087791220878
9.00293204875169e-07,3.38147764417522e-07,1.20922494067467e-05,-8.0033519614664e-07,7.59857489152083e-08,2.60785951061437e-06,0.0464880785657634,0.878,0.122087791220878,"ARG1_LTF","uniform_random_run02",0.122087791220878
2.95569118884398e-05,3.38147764417522e-07,1.20922494067467e-05,-8.0033519614664e-07,7.59857489152083e-08,2.60785951061437e-06,2.41632165705415,0.9994,0.0006999300069993,"LCN2_LTF","uniform_random_run02",0.0027997200279972
3.08297451995232e-05,5.52405881809929e-07,2.60013353932294e-05,-4.06072242461198e-06,2.79228808908183e-07,7.19062643553814e-06,1.16445324287449,0.9967,0.0033996600339966,"ARG1_LCN2_LTF","uniform_random_run02",0.0067993200679932
