"rank","gene"
1,"TP53"
2,"AKT1"
3,"EGFR"
4,"IL6"
5,"TNF"
6,"STAT3"
7,"INS"
8,"IL1B"
9,"CTNNB1"
10,"SRC"
11,"JUN"
12,"MYC"
13,"HSP90AA1"
