"set_name","baseline","observed","null_mean","null_sd","null_q025","null_median","null_q975","z","empirical_percentile","p_empirical_right","FDR_BH"
"ARG1_LCN2","topology_matched",1.02343396835014e-06,4.0724472659652e-07,4.90150226367344e-06,-3.38906332553179e-06,4.97342957039848e-07,3.14429101599956e-06,0.125714364414435,0.7112,0.288871112888711,0.333166683331667
"ARG1_LCN2","uniform_random",1.02343396835014e-06,8.12720100784815e-08,1.68461995330614e-05,-6.73090353386917e-07,7.65845129535591e-08,2.71192660308561e-06,0.0559272705052925,0.9004,0.0996900309969003,0.117588241175882
"ARG1_LTF","topology_matched",9.00293204875169e-07,6.00575889997883e-07,4.25724975073084e-06,-2.76815820920984e-06,5.32981947687361e-07,3.28870383869972e-06,0.0704016283812884,0.6669,0.333166683331667,0.333166683331667
"ARG1_LTF","uniform_random",9.00293204875169e-07,8.12720100784815e-08,1.68461995330614e-05,-6.73090353386917e-07,7.65845129535591e-08,2.71192660308561e-06,0.048617564643546,0.8825,0.117588241175882,0.117588241175882
"LCN2_LTF","topology_matched",2.95569118884398e-05,9.77016948006276e-07,2.84240437113301e-05,-1.35820357294314e-06,2.11794818349986e-07,1.52814725770112e-06,1.00548307730899,0.9984,0.0016998300169983,0.0067993200679932
"LCN2_LTF","uniform_random",2.95569118884398e-05,8.12720100784815e-08,1.68461995330614e-05,-6.73090353386917e-07,7.65845129535591e-08,2.71192660308561e-06,1.74969077271785,0.9991,0.000999900009999,0.003999600039996
"ARG1_LCN2_LTF","topology_matched",3.08297451995232e-05,2.24967052692241e-06,3.15364897095046e-05,-9.69938227426415e-06,1.24223955283442e-06,7.56360192910588e-06,0.906254149902652,0.9948,0.0052994700529947,0.0105989401059894
"ARG1_LCN2_LTF","uniform_random",3.08297451995232e-05,1.04560246569238e-06,2.0139230839908e-05,-3.47664233223965e-06,2.84744575140827e-07,7.39866256337096e-06,1.47891163126302,0.9966,0.0034996500349965,0.006999300069993
