"set_name","baseline","observed","null_mean","null_sd","null_q025","null_median","null_q975","z","empirical_percentile","p_empirical_right","FDR_BH"
"ARG1","topology_matched",0.0014725101241061,0.000486646542576212,0.000539957185045064,8.87083575196179e-06,0.00023019859617357,0.00166711359586047,1.82581806268141,0.9205,0.0795920407959204,0.201754824517548
"ARG1","uniform_random",0.0014725101241061,0.000155051208196665,0.000429269590921427,0,1.26052450867276e-05,0.00134091820301629,3.06907114729816,0.9805,0.0195980401959804,0.102423091024231
"LCN2","topology_matched",6.80840046716202e-05,0.000123844970416841,0.000269994471409793,0,5.98208087934093e-05,0.00127400659039045,-0.206526324239387,0.5765,0.423557644235576,0.494150584941506
"LCN2","uniform_random",6.80840046716202e-05,0.000155051208196665,0.000429269590921427,0,1.26052450867276e-05,0.00134091820301629,-0.202593440961821,0.7333,0.266773322667733,0.333766623337666
"LTF","topology_matched",5.65477936731451e-05,0.000140014510935001,0.000279642047466674,0,7.25412905625555e-05,0.00127400659039045,-0.29847699234788,0.4009,0.599140085991401,0.599140085991401
"LTF","uniform_random",5.65477936731451e-05,0.000155051208196665,0.000429269590921427,0,1.26052450867276e-05,0.00134091820301629,-0.229467487580666,0.7061,0.293970602939706,0.333766623337666
"ARG1_LCN2","topology_matched",0.00154151730835994,0.00061564511935082,0.000610545447664519,7.29291501250229e-05,0.000311370962951973,0.00244608545031797,1.51646727127489,0.8972,0.102889711028897,0.201754824517548
"ARG1_LCN2","uniform_random",0.00154151730835994,0.000307607568250511,0.000619641616492756,0,6.38779646382481e-05,0.00203813241887603,1.99132806329811,0.9566,0.0434956504349565,0.102423091024231
"ARG1_LTF","topology_matched",0.00152987494378543,0.000626237668140154,0.000609971100330312,7.93270477117414e-05,0.000325780003511356,0.00245451720662326,1.48144276860975,0.8867,0.113388661133887,0.201754824517548
"ARG1_LTF","uniform_random",0.00152987494378543,0.000307607568250511,0.000619641616492756,0,6.38779646382481e-05,0.00203813241887603,1.97253919524175,0.9562,0.0438956104389561,0.102423091024231
"LCN2_LTF","topology_matched",0.000154184860232998,0.000262123615094021,0.000382431715446452,3.06831511110994e-05,0.000133939575676645,0.0013585335804478,-0.282243209706118,0.6315,0.368563143685631,0.494150584941506
"LCN2_LTF","uniform_random",0.000154184860232998,0.000307607568250511,0.000619641616492756,0,6.38779646382481e-05,0.00203813241887603,-0.24759910234226,0.6663,0.333766623337666,0.333766623337666
"ARG1_LCN2_LTF","topology_matched",0.00162778430173449,0.000752298479724779,0.000664545821202468,0.000135480445256278,0.000419558790906937,0.0025558774562501,1.31741979872141,0.8848,0.115288471152885,0.201754824517548
"ARG1_LCN2_LTF","uniform_random",0.00162778430173449,0.000469330167391432,0.000776323401180551,0,0.00014008252610892,0.00267202788848083,1.49223137236544,0.9337,0.0663933606639336,0.116188381161884
