"set_name","knockout","k","retained_nodes","efficiency_sum_before","efficiency_sum_after","D_E","LCC_after","D_LCC","components_after","disconnected_pair_fraction","bliss_expected","Syn_Bliss","Syn_add"
"ARG1","ARG1",1,1225,263042.900001697,262655.56666837,0.0014725101241061,1224,0.000816326530612255,2,0.00163265306122451,NA,NA,NA
"LCN2","LCN2",1,1225,263015.416668365,262997.509525507,6.80840046716202e-05,1225,0,1,0,NA,NA,NA
"LTF","LTF",1,1225,263030.766668364,263015.892858841,5.65477936731451e-05,1225,0,1,0,NA,NA,NA
"ARG1_LCN2","ARG1+LCN2",2,1224,262559.8000017,262155.059525518,0.00154151730835994,1223,0.000816993464052285,2,0.00163398692810457,0.00154049387439159,1.02343396835014e-06,9.23179582223987e-07
"ARG1_LTF","ARG1+LTF",2,1224,262575.1500017,262173.442858852,0.00152987494378543,1223,0.000816993464052285,2,0.00163398692810457,0.00152897465058055,9.00293204875169e-07,8.17026006183497e-07
"LCN2_LTF","LCN2+LTF",2,1224,262548.166668367,262507.685715985,0.000154184860232998,1224,0,1,0,0.000124627948344558,2.95569118884398e-05,2.95530618882323e-05
"ARG1_LCN2_LTF","ARG1+LCN2+LTF",3,1223,262093.050001707,261666.41904932,0.00162778430173449,1222,0.000817661488143884,2,0.00163532297628777,0.00159695455653497,3.08297451995232e-05,3.06423792836297e-05
