"sampled_set","D_E","Syn_Bliss","Syn_add","iteration"
"CYP11B2+PARK7",0.000209966957592012,3.7931582586026e-07,3.70050985742942e-07,70
"CYP17A1+PTGS1",0.000184943863869913,4.28239264160801e-07,4.2071187622561e-07,71
"SCN2A+TRPV4",0.000251696057865014,1.50540754639827e-07,1.35023257241684e-07,72
"ALDH3A1+AURKB",0.000149875640786945,1.24351877683893e-07,1.18881134270055e-07,73
"EIF2AK2+NOS2",0.00014955429549024,3.65126519685788e-07,3.60681643107874e-07,74
"ITGA5+PPP3CA",0.00129928069383212,1.3771609580493e-06,1.31840424044682e-06,75
"ATF4+PRKAA1",9.6996616230749e-05,1.6628484966752e-07,1.65030470955507e-07,76
"CACNB4+EIF2AK2",0.000176840464857553,2.9264695078357e-07,2.85245370212905e-07,77
"ALDH3A1+ITGA5",0.00131533090664548,1.20045235163513e-06,1.12137042151961e-06,78
"ACE2+SOD2",0.000312728078976199,3.68320773436182e-07,3.49738299765256e-07,79
"BGLAP+TRPV4",0.000252861742238708,5.30208761895246e-07,5.145786953209e-07,80
"ACLY+PTGS1",0.000239995105119961,5.8813330272578e-07,5.73818130122916e-07,81
"PARK7+PRKCZ",0.00130947270784698,1.04520573296352e-06,9.66323671303115e-07,82
"GSTM1+PPP3CA",0.00020891663855116,3.73427236355361e-07,3.65838013660635e-07,83
"GLUD1+NR1I2",0.000270694299580487,3.7809678932188e-07,3.60197655369099e-07,84
"NR1I2+PRKCZ",0.00136243144821491,1.51482425481131e-06,1.37050360926594e-06,85
"CS+PRKAG2",0.000342939222224836,-2.63659623285228e-05,-2.63997000071736e-05,86
"APRT+BGLAP",0.000172231321583838,2.79810988601525e-07,2.7295558635565e-07,87
"GLUD1+NR1I2",0.000270694299580487,3.7809678932188e-07,3.60197655369099e-07,88
"CTSD+PLA2G4A",0.000250179883957369,4.30435829867903e-07,4.15246301010974e-07,89
"APRT+GJA1",0.000198690299051951,3.27797124999307e-07,3.19282862037973e-07,90
"GCLC+PROM1",0.00124333857384684,1.23829324105706e-06,1.16927892190866e-06,91
