query_gene,status,reason
MIR22,excluded,non-protein RNA; outside PPI node scope
MIR29B1,excluded,non-protein RNA; outside PPI node scope
MIR30A,excluded,non-protein RNA; outside PPI node scope
MIR34A,excluded,non-protein RNA; outside PPI node scope
MIRLET7I,excluded,non-protein RNA; outside PPI node scope
MITF,accepted,exact preferredName
MLXIPL,accepted,exact preferredName
MMP1,accepted,exact preferredName
MMP10,accepted,exact preferredName
MMP11,accepted,exact preferredName
MMP13,accepted,exact preferredName
MMP2,accepted,exact preferredName
MMP3,accepted,exact preferredName
MMP9,accepted,exact preferredName
MOCOS,accepted,exact preferredName
MPO,accepted,exact preferredName
MRC1,accepted,exact preferredName
MSI1,accepted,exact preferredName
MT1X,accepted,exact preferredName
MT2A,accepted,exact preferredName
MTOR,accepted,exact preferredName
MTTP,accepted,exact preferredName
MUC5AC,accepted,exact preferredName
MYB,accepted,exact preferredName
MYC,accepted,exact preferredName
MYD88,accepted,exact preferredName
MYH6,accepted,exact preferredName
MYH7,accepted,exact preferredName
MYLK,accepted,exact preferredName
NAAA,accepted,exact preferredName
NAGA,accepted,exact preferredName
NANOG,accepted,exact preferredName
NCF1,accepted,exact preferredName
NCF2,accepted,exact preferredName
NCF4,accepted,exact preferredName
NCOA2,accepted,exact preferredName
NCOA6,accepted,exact preferredName
NDUFS3,accepted,exact preferredName
NDUFV2,accepted,exact preferredName
NDUFV3,accepted,exact preferredName
NEDD4L,accepted,exact preferredName
NEIL1,accepted,exact preferredName
NEU1,accepted,exact preferredName
NFATC1,accepted,exact preferredName
NFATC2,accepted,exact preferredName
NFATC3,accepted,exact preferredName
NFATC4,accepted,exact preferredName
NFE2L2,accepted,exact preferredName
NFKB1,accepted,exact preferredName
NFKB2,accepted,exact preferredName
NFKBIA,accepted,exact preferredName
NFKBIE,accepted,exact preferredName
NGF,accepted,exact preferredName
NISCH,accepted,exact preferredName
NKX3-1,accepted,exact preferredName
NLN,accepted,exact preferredName
NLRP3,accepted,exact preferredName
NNMT,accepted,exact preferredName
NNT,accepted,exact preferredName
NOD2,accepted,exact preferredName
NOMO1,accepted,exact preferredName
NOS1,accepted,exact preferredName
NOS2,accepted,exact preferredName
NOS3,accepted,exact preferredName
NOTCH1,accepted,exact preferredName
NOX1,accepted,exact preferredName
NOX4,accepted,exact preferredName
NPEPPS,accepted,exact preferredName
NPPA,accepted,exact preferredName
NPPB,accepted,exact preferredName
NPR1,accepted,exact preferredName
NPY,accepted,exact preferredName
NQO1,accepted,exact preferredName
NQO2,accepted,exact preferredName
NR1H2,accepted,exact preferredName
NR1H3,accepted,exact preferredName
NR1H4,accepted,exact preferredName
NR1I2,accepted,exact preferredName
NR1I3,accepted,exact preferredName
NR3C1,accepted,exact preferredName
NR3C2,accepted,exact preferredName
NR4A1,accepted,exact preferredName
NRF1,accepted,exact preferredName
NRP1,accepted,exact preferredName
NRXN1,accepted,exact preferredName
NSFL1C,accepted,exact preferredName
NTRK1,accepted,exact preferredName
NTRK2,accepted,exact preferredName
NUF2,accepted,exact preferredName
OARD1,accepted,exact preferredName
OAT,accepted,exact preferredName
OAZ1,accepted,exact preferredName
ODC1,accepted,exact preferredName
OLR1,accepted,exact preferredName
OPA1,accepted,exact preferredName
OPRD1,accepted,exact preferredName
OPRK1,excluded,no exact or reviewed protein mapping returned by STRING
OPRL1,excluded,no exact or reviewed protein mapping returned by STRING
OPRM1,accepted,exact preferredName
OR51E1,accepted,exact preferredName
ORM1,accepted,exact preferredName
ORM2,accepted,exact preferredName
P2RX4,accepted,exact preferredName
P2RX7,accepted,exact preferredName
P4HB,accepted,exact preferredName
PAEP,accepted,exact preferredName
PAM,accepted,exact preferredName
PAPSS1,accepted,exact preferredName
PAPSS2,accepted,exact preferredName
PARK7,accepted,exact preferredName
PARP1,accepted,exact preferredName
PBK,accepted,exact preferredName
PCNA,accepted,exact preferredName
PCOLCE,accepted,exact preferredName
PCYT1A,accepted,exact preferredName
PCYT1B,accepted,exact preferredName
PDE10A,accepted,exact preferredName
PDE1B,accepted,exact preferredName
PDE2A,accepted,exact preferredName
PDE3B,accepted,exact preferredName
PDE4A,accepted,exact preferredName
PDE4B,accepted,exact preferredName
PDE4D,accepted,exact preferredName
PDE5A,accepted,exact preferredName
PDE6C,accepted,exact preferredName
PDE7B,accepted,exact preferredName
PDK1,accepted,exact preferredName
PDXK,accepted,exact preferredName
PECR,accepted,exact preferredName
PEMT,accepted,exact preferredName
PENK,accepted,exact preferredName
PFAS,accepted,exact preferredName
PGP,accepted,exact preferredName
PGR,accepted,exact preferredName
PGRMC1,accepted,exact preferredName
PHB2,accepted,exact preferredName
PHOSPHO1,accepted,exact preferredName
PHOSPHO2,accepted,exact preferredName
PIGK,accepted,exact preferredName
PIK3CA,accepted,exact preferredName
PIK3CD,accepted,exact preferredName
PIK3R1,accepted,exact preferredName
PIM1,accepted,exact preferredName
PKD1,accepted,exact preferredName
PKD2,accepted,exact preferredName
PKIA,accepted,exact preferredName
PLA2G2A,accepted,exact preferredName
PLA2G2D,accepted,exact preferredName
PLA2G4A,accepted,exact preferredName
PLA2G7,accepted,exact preferredName
PLAT,accepted,exact preferredName
PLAU,accepted,exact preferredName
PLB1,accepted,exact preferredName
PLD1,accepted,exact preferredName
PLD2,accepted,exact preferredName
PLEK,accepted,exact preferredName
PLG,accepted,exact preferredName
PLK4,accepted,exact preferredName
PLSCR1,accepted,exact preferredName
PNP,accepted,exact preferredName
PNPLA2,accepted,exact preferredName
PNRC2,accepted,exact preferredName
POLA1,accepted,exact preferredName
POLB,accepted,exact preferredName
POLDIP2,accepted,exact preferredName
POLE,accepted,exact preferredName
POLE4,accepted,exact preferredName
POMC,accepted,exact preferredName
PON1,accepted,exact preferredName
PON2,accepted,exact preferredName
POR,accepted,exact preferredName
PORCN,accepted,exact preferredName
POU5F1,accepted,exact preferredName
PPARA,accepted,exact preferredName
PPARD,accepted,exact preferredName
PPARG,accepted,exact preferredName
PPARGC1A,accepted,exact preferredName
PPIA,accepted,exact preferredName
PPID,accepted,exact preferredName
PPIF,accepted,exact preferredName
PPP2CA,accepted,exact preferredName
PPP2CB,accepted,exact preferredName
PPP3CA,accepted,exact preferredName
PPP3R1,accepted,exact preferredName
PPT1,accepted,exact preferredName
PRDX1,accepted,exact preferredName
PRDX2,accepted,exact preferredName
PRDX5,accepted,exact preferredName
PRKAA1,accepted,exact preferredName
PRKAA2,accepted,exact preferredName
PRKAB1,accepted,exact preferredName
PRKAB2,accepted,exact preferredName
PRKACA,accepted,exact preferredName
PRKAG2,accepted,exact preferredName
PRKCA,accepted,exact preferredName
PRKCB,accepted,exact preferredName
PRKCD,accepted,exact preferredName
PRKCE,accepted,exact preferredName
PRKCG,accepted,exact preferredName
PRKCI,accepted,exact preferredName
PRKCZ,accepted,exact preferredName
PRKDC,accepted,exact preferredName
PRL,accepted,exact preferredName
PRMT3,accepted,exact preferredName
PROC,accepted,exact preferredName
PROM1,accepted,exact preferredName
PROS1,accepted,exact preferredName
PRSS1,accepted,exact preferredName
PSMD11,accepted,exact preferredName
PTAFR,accepted,exact preferredName
PTEN,accepted,exact preferredName
PTGDR2,accepted,exact preferredName
PTGDS,accepted,exact preferredName
PTGER1,accepted,exact preferredName
PTGER2,accepted,exact preferredName
PTGER3,accepted,exact preferredName
PTGER4,accepted,exact preferredName
PTGES2,accepted,exact preferredName
PTGFR,accepted,exact preferredName
PTGIS,accepted,exact preferredName
PTGR1,accepted,exact preferredName
PTGS1,accepted,exact preferredName
PTGS2,accepted,exact preferredName
PTH,accepted,exact preferredName
PTK2,accepted,exact preferredName
PTK2B,accepted,exact preferredName
PTP4A1,accepted,exact preferredName
PTPN1,accepted,exact preferredName
PTPN11,accepted,exact preferredName
PTPN6,accepted,exact preferredName
PTX3,accepted,exact preferredName
PYGM,accepted,exact preferredName
QPRT,accepted,exact preferredName
RAB5A,accepted,exact preferredName
RAB9A,accepted,exact preferredName
RAC1,accepted,exact preferredName
RAC2,accepted,exact preferredName
RAF1,accepted,exact preferredName
RAPGEF4,accepted,exact preferredName
RARA,accepted,exact preferredName
RARB,accepted,exact preferredName
RARG,accepted,exact preferredName
RARRES1,accepted,exact preferredName
RASA1,accepted,exact preferredName
RASGRF1,accepted,exact preferredName
RASSF1,accepted,exact preferredName
RB1,accepted,exact preferredName
RBL1,accepted,exact preferredName
RBP1,accepted,exact preferredName
RBP2,accepted,exact preferredName
RBP4,accepted,exact preferredName
RBP7,accepted,exact preferredName
RCAN1,accepted,exact preferredName
RDH11,accepted,exact preferredName
RDH12,accepted,exact preferredName
RDH5,accepted,exact preferredName
RELA,accepted,exact preferredName
REN,accepted,exact preferredName
RETSAT,accepted,exact preferredName
RGN,accepted,exact preferredName
RHO,accepted,exact preferredName
RHOA,accepted,exact preferredName
RIPK1,accepted,exact preferredName
